PRODUCT_ID,PRODUCT_DESC,Department_Cat,Section_Cat,Family_Cat,SubFamily_Cat,PROMO_MECHANIC,SUPPLIER_ID
1481169,PRODUCT_1481169,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1482186,PRODUCT_1482186,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1279689,PRODUCT_1279689,Department A,SECTION A,FAMILY B,SUBFAMILY C,Straight Discount,144
1279692,PRODUCT_1279692,Department A,SECTION A,FAMILY B,SUBFAMILY C,null,144
1364453,PRODUCT_1364453,Department A,SECTION A,FAMILY A,SUBFAMILY A,Straight Discount,6294
1207181,PRODUCT_1207181,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,34
1274290,PRODUCT_1274290,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,4419
1274289,PRODUCT_1274289,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,4419
1532141,PRODUCT_1532141,Department A,SECTION A,FAMILY A,SUBFAMILY B,null,367
1082906,PRODUCT_1082906,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,64
1496081,PRODUCT_1496081,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,6513
1017329,PRODUCT_1017329,Department A,SECTION B,FAMILY D,SUBFAMILY G,null,64
1512200,PRODUCT_1512200,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1274289,PRODUCT_1274289,Department A,SECTION A,FAMILY A,SUBFAMILY A,Straight Discount,4419
1356351,PRODUCT_1356351,Department A,SECTION B,FAMILY C,SUBFAMILY F,Straight Discount,52
1512203,PRODUCT_1512203,Department A,SECTION A,FAMILY B,SUBFAMILY D,Multiple,144
1493833,PRODUCT_1493833,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,144
1274290,PRODUCT_1274290,Department A,SECTION A,FAMILY A,SUBFAMILY A,Straight Discount,4419
1512204,PRODUCT_1512204,Department A,SECTION A,FAMILY B,SUBFAMILY D,Multiple,144
1493832,PRODUCT_1493832,Department A,SECTION A,FAMILY B,SUBFAMILY D,null,144
1437639,PRODUCT_1437639,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1286004,PRODUCT_1286004,Department A,SECTION A,FAMILY A,SUBFAMILY A,BTGT,144
